ID,Species,Len1,Len2,Len3,Height,Width,Sex,Weight
1,Whitewish,23.6,26,28.7,29.2,14.8,,270
2,Whitewish,24.1,26.5,29.3,27.8,14.5,,270
3,Whitewish,25.6,28,30.8,28.5,15.2,,306
4,Whitewish,28.5,31,34,31.6,19.3,,540
5,Whitewish,33.7,36.4,39.6,29.7,16.6,0,800
6,Whitewish,37.3,40,43.5,28.4,15,,1000
7,Bream,23.2,25.4,30,38.4,13.4,,242
8,Bream,24,26.3,31.2,40,13.8,,290
9,Bream,23.9,26.5,31.1,39.8,15.1,,340
10,Bream,26.3,29,33.5,38,13.3,,363
11,Bream,26.5,29,34,36.6,15.1,,430
12,Bream,26.8,29.7,34.7,39.2,14.2,,450
13,Bream,26.8,29.7,34.5,41.1,15.3,,500
14,Bream,27.6,30,35,36.2,13.4,,390
15,Bream,27.6,30,35.1,39.9,13.8,,450
16,Bream,28.5,30.7,36.2,39.3,13.7,,500
17,Bream,28.4,31,36.2,39.4,14.1,,475
18,Bream,28.7,31,36.2,39.7,13.3,,500
19,Bream,29.1,31.5,36.4,37.8,12,,500
20,Bream,29.4,32,37.2,40.2,13.9,1,600
21,Bream,29.4,32,37.2,41.5,15,,600
22,Bream,30.4,33,38.3,38.8,13.8,1,700
23,Bream,30.4,33,38.5,38.8,13.5,,700
24,Bream,30.9,33.5,38.6,40.5,13.3,,610
25,Bream,31,33.5,38.7,37.4,14.8,,650
26,Bream,31.3,34,39.5,38.3,14.1,1,575
27,Bream,31.4,34,39.2,40.8,13.7,,685
28,Bream,31.5,34.5,39.7,39.1,13.3,,620
29,Bream,31.8,35,40.6,38.1,15.1,,680
30,Bream,31.9,35,40.5,40.1,13.8,,700
31,Bream,31.8,35,40.9,40,14.8,1,725
32,Bream,32,35,40.6,40.3,15,,720
33,Bream,32.7,36,41.5,39.8,14.1,,714
34,Bream,32.8,36,41.6,40.6,14.9,,850
35,Bream,33.5,37,42.6,44.5,15.5,0,1000
36,Bream,35,38.5,44.1,40.9,14.3,0,920
37,Bream,35,38.5,44,41.1,14.3,,955
38,Bream,36.2,39.5,45.3,41.4,14.9,1,925
39,Bream,37.4,41,45.9,40.6,14.7,0,975
40,Bream,38,41,46.5,37.9,13.7,,950
41,Roach,12.9,14.1,16.2,25.6,14,,40
42,Roach,16.5,18.2,20.3,26.1,13.9,,69
43,Roach,17.5,18.8,21.2,26.3,13.7,,78
44,Roach,18.2,19.8,22.2,25.3,14.3,,87
45,Roach,18.6,20,22.2,28,16.1,,120
46,Roach,19,20.5,22.8,28.4,14.7,,0
47,Roach,19.1,20.8,23.1,26.7,14.7,0,110
48,Roach,19.4,21,23.7,25.8,13.9,0,120
49,Roach,20.4,22,24.7,23.5,15.2,0,150
50,Roach,20.5,22,24.3,27.3,14.6,0,145
51,Roach,20.5,22.5,25.3,27.8,15.1,0,160
52,Roach,21,22.5,25,26.2,13.3,,140
53,Roach,21.1,22.5,25,25.6,15.2,0,160
54,Roach,22,24,27.2,27.7,14.1,,169
55,Roach,22,23.4,26.7,25.9,13.6,,161
56,Roach,22.1,23.5,26.8,27.6,15.4,0,200
57,Roach,23.6,25.2,27.9,25.4,14,,180
58,Roach,24,26,29.2,30.4,15.4,,290
59,Roach,25,27,30.6,28,15.6,0,272
60,Roach,29.5,31.7,35,27.1,15.3,,390
61,Parkki,13.5,14.7,16.5,41.5,14.1,,55
62,Parkki,14.3,15.5,17.4,37.8,13.3,1,60
63,Parkki,16.3,17.7,19.8,37.4,13.5,1,90
64,Parkki,17.5,19,21.3,39.4,13.7,1,120
65,Parkki,18.4,20,22.4,39.7,14.7,,150
66,Parkki,19,20.7,23.2,36.8,14.2,,140
67,Parkki,19,20.7,23.2,40.5,14.7,0,170
68,Parkki,19.8,21.5,24.1,40.4,13.1,0,145
69,Parkki,21.2,23,25.8,40.1,14.2,,200
70,Parkki,23,25,28,39.6,14.8,0,273
71,Parkki,24,26,29,39.2,14.6,0,300
72,Smelt,9.3,9.8,10.8,16.1,9.7,1,6.7
73,Smelt,10,10.5,11.6,17,10,0,7.5
74,Smelt,10.1,10.6,11.6,14.9,9.9,1,7
75,Smelt,10.4,11,12,18.3,11.5,0,9.7
76,Smelt,10.7,11.2,12.4,16.8,10.3,1,9.8
77,Smelt,10.8,11.3,12.6,15.7,10.2,1,8.7
78,Smelt,11.3,11.8,13.1,16.9,9.8,1,10
79,Smelt,11.3,11.8,13.1,16.9,8.9,0,9.9
80,Smelt,11.4,12,13.2,16.7,8.7,0,9.8
81,Smelt,11.5,12.2,13.4,15.6,10.4,0,12.2
82,Smelt,11.7,12.4,13.5,18,9.4,0,13.4
83,Smelt,12.1,13,13.8,16.5,9.1,0,12.2
84,Smelt,13.2,14.3,15.2,18.9,13.6,0,19.7
85,Smelt,13.8,15,16.2,18.1,11.6,0,19.9
86,Pike,30,32.3,34.8,16,9.7,,200
87,Pike,31.7,34,37.8,15.1,11,0,300
88,Pike,32.7,35,38.8,15.3,11.3,,300
89,Pike,34.8,37.3,39.8,15.8,10.1,,300
90,Pike,35.5,38,40.5,18,11.3,,430
91,Pike,36,38.5,41,15.6,9.7,1,345
92,Pike,40,42.5,45.5,16,9.5,,456
93,Pike,40,42.5,45.5,15,9.8,,510
94,Pike,40.1,43,45.8,17,11.2,,540
95,Pike,42,45,48,14.5,10.2,,500
96,Pike,43.2,46,48.7,16,10,0,567
97,Pike,44.8,48,51.2,15,10.5,0,770
98,Pike,48.3,51.7,55.1,16.2,11.2,,950
99,Pike,52,56,59.7,17.9,11.7,,1250
100,Pike,56,60,64,15,9.6,,1600
101,Pike,56,60,64,15,9.6,0,1550
102,Pike,59,63.4,68,15.9,11,0,1650
103,Perch,7.5,8.4,8.8,24,16,,5.9
